,year,rank,name,sector,industry,revenues,revchange,profits,prftchange,assets,employees,hqcity,hqstate,newcomer,profitable,ceowoman,jobgrowth,permalink
0,2019,1.0,Walmart,Retailing,General Merchandisers,514405.0,2.8,6670.0,-32.4,219295.0,2200000,Bentonville,Arkansas,no,yes,no,no,https://fortune.com/global500/2019/walmart/
1,2019,2.0,Sinopec Group,Energy,Petroleum Refining,414649.9,26.8,5845.0,280.1,329186.3,619151,Beijing,,no,yes,no,no,https://fortune.com/global500/2019/sinopec-group/
2,2019,3.0,Royal Dutch Shell,Energy,Petroleum Refining,396556.0,27.2,23352.0,79.9,399194.0,81000,The Hague,,no,yes,no,no,https://fortune.com/global500/2019/royal-dutch-shell/
3,2019,4.0,China National Petroleum,Energy,Petroleum Refining,392976.6,20.5,2270.5,,601899.9,1382401,Beijing,,no,yes,no,no,https://fortune.com/global500/2019/china-national-petroleum/
4,2019,5.0,State Grid,Energy,Utilities,387056.0,10.9,8174.8,-14.3,572309.5,917717,Beijing,,no,yes,no,yes,https://fortune.com/global500/2019/state-grid/
5,2019,6.0,Saudi Aramco,Energy,"Mining, Crude-Oil Production",355905.0,35.3,110974.5,46.9,358872.9,76418,Dhahran,,yes,yes,no,yes,https://fortune.com/global500/2019/saudi-aramco/
6,2019,7.0,BP,Energy,Petroleum Refining,303738.0,24.2,9383.0,176.9,282176.0,73000,London,,no,yes,no,no,https://fortune.com/global500/2019/bp/
7,2019,8.0,Exxon Mobil,Energy,Petroleum Refining,290212.0,18.8,20840.0,5.7,346196.0,71000,Irving,Texas,no,yes,no,no,https://fortune.com/global500/2019/exxon-mobil/
8,2019,9.0,Volkswagen,Motor Vehicles & Parts,Motor Vehicles and Parts,278341.5,7.0,14322.5,9.3,523672.3,664496,Wolfsburg,,no,yes,no,yes,https://fortune.com/global500/2019/volkswagen/
9,2019,10.0,Toyota Motor,Motor Vehicles & Parts,Motor Vehicles and Parts,272612.0,2.8,16982.0,-24.6,469295.6,370870,Toyota,,no,yes,no,yes,https://fortune.com/global500/2019/toyota-motor/
10,2019,11.0,Apple,Technology,"Computers, Office Equipment",265595.0,15.9,59531.0,23.1,365725.0,132000,Cupertino,California,no,yes,no,yes,https://fortune.com/global500/2019/apple/
11,2019,12.0,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),247837.0,2.4,4021.0,-91.1,707794.0,389000,Omaha,Nebraska,no,yes,no,yes,https://fortune.com/global500/2019/berkshire-hathaway/
