,year,rank,name,sector,industry,revenues,revchange,profits,prftchange,assets,employees,hqcity,hqstate,newcomer,profitable,ceowoman,jobgrowth,permalink
1000,2021,1.0,Walmart,Retailing,General Merchandisers,559151.0,6.7,13510.0,-9.2,252496.0,2300000,Bentonville,Arkansas,no,yes,no,yes,https://fortune.com/company/walmart/global500/
1001,2021,2.0,State Grid,Energy,Utilities,386617.7,0.7,5580.4,-30.0,666088.5,896360,Beijing,,no,yes,no,no,https://fortune.com/company/state-grid/global500/
1002,2021,3.0,Amazon,Retailing,Internet Services and Retailing,386064.0,37.6,21331.0,84.1,321195.0,1298000,Seattle,Washington,no,yes,no,yes,https://fortune.com/company/amazon-com/global500/
1003,2021,4.0,China National Petroleum,Energy,Petroleum Refining,283957.6,-25.1,4575.2,3.0,626616.7,1242245,Beijing,,no,yes,no,no,https://fortune.com/company/china-national-petroleum/global500/
1004,2021,5.0,Sinopec Group,Energy,Petroleum Refining,283727.6,-30.3,6205.2,-8.7,343289.0,553833,Beijing,,no,yes,no,no,https://fortune.com/company/sinopec-group/global500/
1005,2021,6.0,Apple,Technology,"Computers, Office Equipment",274515.0,5.5,57411.0,3.9,323888.0,147000,Cupertino,California,no,yes,no,yes,https://fortune.com/company/apple/global500/
1006,2021,7.0,CVS Health,Health Care,Health Care: Pharmacy and Other Services,268706.0,4.6,7179.0,8.2,230715.0,256500,Woonsocket,Rhode Island,no,yes,yes,no,https://fortune.com/company/cvs-health/global500/
1007,2021,8.0,UnitedHealth Group,Health Care,Health Care: Insurance and Managed Care,257141.0,6.2,15403.0,11.3,197289.0,330000,Minnetonka,Minnesota,no,yes,no,yes,https://fortune.com/company/unitedhealth-group/global500/
1008,2021,9.0,Toyota Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,256721.7,-6.5,21180.1,13.1,562994.0,366283,Toyota,,no,yes,no,yes,https://fortune.com/company/toyota-motor/global500/
1009,2021,10.0,Volkswagen,Motor Vehicles & Parts,Motor Vehicles & Parts,253965.0,-10.2,10103.5,-35.0,608368.1,662575,Wolfsburg,,no,yes,no,no,https://fortune.com/company/volkswagen/global500/
1010,2021,11.0,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),245510.0,-3.6,42521.0,-47.8,873729.0,360000,Omaha,Nebraska,no,yes,no,no,https://fortune.com/company/berkshire-hathaway/global500/
1011,2021,12.0,McKesson,Health Care,Wholesalers: Health Care,238228.0,3.1,-4539.0,-604.3,65015.0,67500,Irving,Texas,no,no,no,no,https://fortune.com/company/mckesson/global500/
1012,2021,13.0,China State Construction Engineering,Engineering & Construction,Engineering & Construction,234425.0,13.9,3578.4,7.4,338033.2,356864,Beijing,,no,yes,no,yes,https://fortune.com/company/china-state-construction-engineering/global500/
1013,2021,14.0,Saudi Aramco,Energy,"Mining, Crude-Oil Production",229766.2,-30.3,49286.8,-44.1,510265.5,79800,Dhahran,,no,yes,no,yes,https://fortune.com/company/saudi-aramco/global500/
1014,2021,15.0,Samsung Electronics,Technology,"Electronics, Electrical Equip.",200734.4,1.5,22116.4,19.9,347991.8,267937,"Suwon, Gyeonggi-do",,no,yes,no,no,https://fortune.com/company/samsung-electronics/global500/
1015,2021,16.0,Ping An Insurance,Financials,"Insurance: Life, Health (stock)",191509.4,3.9,20738.9,-4.1,1460210.0,362035,Shenzhen,,no,yes,yes,no,https://fortune.com/company/ping-an-insurance/global500/
1016,2021,17.0,AmerisourceBergen,Health Care,Wholesalers: Health Care,189893.9,5.7,-3408.7,-498.5,44274.8,21500,Chesterbrook,Pennsylvania,no,no,no,no,https://fortune.com/company/amerisourcebergen/global500/
1017,2021,18.0,BP,Energy,Petroleum Refining,183500.0,-35.1,-20305.0,-604.3,267654.0,68100,London,,no,no,no,no,https://fortune.com/company/bp/global500/
1018,2021,19.0,Royal Dutch Shell,Energy,Petroleum Refining,183195.0,-48.0,-21680.0,-236.9,379268.0,87000,The Hague,,no,no,no,yes,https://fortune.com/company/royal-dutch-shell/global500/
1019,2021,20.0,Industrial & Commercial Bank of China,Financials,Banks: Commercial and Savings,182794.4,3.2,45783.4,1.3,5110353.7,439787,Beijing,,no,yes,no,no,https://fortune.com/company/industrial-commercial-bank-of-china/global500/
1020,2021,21.0,Alphabet,Technology,Internet Services and Retailing,182527.0,12.8,40269.0,17.3,319616.0,135301,Mountain View,California,no,yes,no,yes,https://fortune.com/company/alphabet/global500/
1021,2021,22.0,Hon Hai Precision Industry,Technology,"Electronics, Electrical Equip.",181945.4,5.3,3456.7,-7.3,130845.6,878429,New Taipei City,,no,yes,no,yes,https://fortune.com/company/hon-hai-precision-industry/global500/
1022,2021,23.0,Exxon Mobil,Energy,Petroleum Refining,181502.0,-31.5,-22440.0,-256.5,332750.0,72000,Irving,Texas,no,no,no,no,https://fortune.com/company/exxon-mobil/global500/
1023,2021,24.0,Daimler,Motor Vehicles & Parts,Motor Vehicles & Parts,175827.3,-9.1,4132.8,55.3,349684.9,288481,Stuttgart,,no,yes,no,no,https://fortune.com/company/daimler/global500/
1024,2021,25.0,China Construction Bank,Financials,Banks: Commercial and Savings,172000.2,8.3,39282.5,1.7,4311456.6,373814,Beijing,,no,yes,no,yes,https://fortune.com/company/china-construction-bank/global500/
1025,2021,26.0,AT&T,Telecommunications,Telecommunications,171760.0,-5.2,-5176.0,-137.2,525761.0,230760,Dallas,Texas,no,no,no,no,https://fortune.com/company/att/global500/
1026,2021,27.0,Costco Wholesale,Retailing,General Merchandisers,166761.0,9.2,4002.0,9.4,55556.0,214500,Issaquah,Washington,no,yes,no,yes,https://fortune.com/company/costco/global500/
1027,2021,28.0,Cigna,Health Care,Health Care: Pharmacy and Other Services,160401.0,4.5,8458.0,65.7,155451.0,72963,Bloomfield,Connecticut,no,yes,no,no,https://fortune.com/company/cigna/global500/
1028,2021,29.0,Agricultural Bank of China,Financials,Banks: Commercial and Savings,153884.6,4.5,31293.4,1.9,4169355.9,462592,Beijing,,no,yes,no,no,https://fortune.com/company/agricultural-bank-of-china/global500/
1029,2021,30.0,Cardinal Health,Health Care,Wholesalers: Health Care,152922.0,5.1,-3696.0,-371.2,40766.0,48000,Dublin,Ohio,no,no,no,no,https://fortune.com/company/cardinal-health/global500/
1030,2021,31.0,Trafigura Group,Wholesalers,Trading,146994.3,-14.3,1699.2,94.9,56985.6,8619,Singapore,,no,yes,no,yes,https://fortune.com/company/trafigura-group/global500/
1031,2021,32.0,China Life Insurance,Financials,"Insurance: Life, Health (stock)",144589.1,10.2,4648.1,-0.3,776308.8,183417,Beijing,,no,yes,no,yes,https://fortune.com/company/china-life-insurance/global500/
1032,2021,33.0,Microsoft,Technology,Computer Software,143015.0,13.6,44281.0,12.8,301311.0,163000,Redmond,Washington,no,yes,no,yes,https://fortune.com/company/microsoft/global500/
1033,2021,34.0,Glencore,Energy,"Mining, Crude-Oil Production",142338.0,-33.8,-1903.0,,118000.0,87822,Baar,,no,no,no,no,https://fortune.com/company/glencore/global500/
1034,2021,35.0,China Railway Engineering Group,Engineering & Construction,Engineering & Construction,141383.6,14.6,1638.8,6.7,185315.7,308483,Beijing,,no,yes,no,yes,https://fortune.com/company/china-railway-engineering/global500/
1035,2021,36.0,Walgreens Boots Alliance,Food & Drug Stores,Food & Drug Stores,139537.0,2.0,456.0,-88.5,87174.0,277000,Deerfield,Illinois,no,yes,yes,no,https://fortune.com/company/walgreens-boots-alliance/global500/
1036,2021,37.0,EXOR Group,Financials,Diversified Financials,136185.9,-16.3,-34.2,-101.0,211650.1,263284,Amsterdam,,no,no,no,no,https://fortune.com/company/exor-group/global500/
1037,2021,38.0,Allianz,Financials,"Insurance: Life, Health (stock)",136173.3,4.5,7756.2,-12.4,1297242.7,150269,Munich,,no,yes,no,yes,https://fortune.com/company/allianz/global500/
1038,2021,39.0,Bank of China,Financials,Banks: Commercial and Savings,134045.6,-0.8,27952.1,3.0,3739871.1,309084,Beijing,,no,yes,no,no,https://fortune.com/company/bank-of-china/global500/
1039,2021,40.0,Kroger,Food & Drug Stores,Food & Drug Stores,132498.0,8.4,2585.0,55.8,48662.0,465000,Cincinnati,Ohio,no,yes,no,yes,https://fortune.com/company/kroger/global500/
1040,2021,41.0,Home Depot,Retailing,Specialty Retailers,132110.0,19.9,12866.0,14.4,70581.0,504800,Atlanta,Georgia,no,yes,no,yes,https://fortune.com/company/home-depot/global500/
1041,2021,42.0,China Railway Construction,Engineering & Construction,Engineering & Construction,131992.3,9.7,1485.5,9.3,190916.1,364632,Beijing,,no,yes,no,no,https://fortune.com/company/china-railway-construction/global500/
1042,2021,43.0,JPMorgan Chase,Financials,Banks: Commercial and Savings,129503.0,-9.1,29131.0,-20.0,3386071.0,255351,New York,New York City,no,yes,no,no,https://fortune.com/company/jpmorgan-chase/global500/
1043,2021,44.0,Huawei Investment & Holding,Technology,Network and Other Communications Equipment,129183.5,3.9,9361.6,3.3,134383.8,197000,Shenzhen,,no,yes,no,yes,https://fortune.com/company/huawei-investment-holding/global500/
1044,2021,45.0,Verizon Communications,Telecommunications,Telecommunications,128292.0,-2.7,17801.0,-7.6,316481.0,132200,New York,New York City,no,yes,no,no,https://fortune.com/company/verizon/global500/
1045,2021,46.0,AXA,Financials,"Insurance: Life, Health (stock)",128011.4,-14.1,3605.2,-16.5,984656.0,96595,Paris,,no,yes,no,no,https://fortune.com/company/axa/global500/
1046,2021,47.0,Ford Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,127144.0,-18.4,-1279.0,-2821.3,267261.0,186000,Dearborn,Michigan,no,no,no,no,https://fortune.com/company/ford-motor/global500/
1047,2021,48.0,Honda Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,124240.6,-9.5,6201.6,47.9,198201.0,211374,Tokyo,,no,yes,no,no,https://fortune.com/company/honda-motor/global500/
1048,2021,49.0,General Motors,Motor Vehicles & Parts,Motor Vehicles & Parts,122485.0,-10.7,6427.0,-4.5,235194.0,155000,Detroit,Michigan,no,yes,yes,no,https://fortune.com/company/general-motors/global500/
1049,2021,50.0,Anthem,Health Care,Health Care: Insurance and Managed Care,121867.0,16.9,4572.0,-4.9,86615.0,83400,Indianapolis,Indiana,no,yes,yes,yes,https://fortune.com/company/anthem/global500/
1050,2021,51.0,Mitsubishi,Wholesalers,Trading,121542.7,-10.6,1627.7,-66.9,168489.8,82997,Tokyo,,no,yes,no,no,https://fortune.com/company/mitsubishi/global500/
1051,2021,52.0,TotalEnergies,Energy,Petroleum Refining,119704.0,-32.1,-7242.0,-164.3,266132.0,105476,Courbevoie,,no,no,no,no,https://fortune.com/company/total/global500/
1052,2021,53.0,Deutsche Telekom,Telecommunications,Telecommunications,115083.2,27.7,4737.8,9.5,324205.4,226291,Bonn,,no,yes,no,yes,https://fortune.com/company/deutsche-telekom/global500/
1053,2021,54.0,BMW Group,Motor Vehicles & Parts,Motor Vehicles & Parts,112794.1,-3.3,4301.4,-21.8,265146.1,120726,Munich,,no,yes,no,no,https://fortune.com/company/bmw-group/global500/
1054,2021,55.0,Nippon Telegraph and Telephone,Telecommunications,Telecommunications,112670.3,2.9,8642.6,9.9,207644.6,324667,Tokyo,,no,yes,no,yes,https://fortune.com/company/nippon-telegraph-telephone/global500/
1055,2021,56.0,China Mobile Communications,Telecommunications,Telecommunications,111825.5,3.0,12920.1,6.4,304527.8,455721,Beijing,,no,yes,no,no,https://fortune.com/company/china-mobile-communications/global500/
1056,2021,57.0,Centene,Health Care,Health Care: Insurance and Managed Care,111115.0,48.9,1808.0,36.9,68719.0,71300,St. Louis,Missouri,no,yes,no,yes,https://fortune.com/company/centene/global500/
1057,2021,58.0,Japan Post Holdings,Financials,"Insurance: Life, Health (stock)",110561.3,0.6,3945.3,-11.3,2692026.5,243612,Tokyo,,no,yes,no,no,https://fortune.com/company/japan-post-holdings/global500/
1058,2021,59.0,JD.com,Retailing,Internet Services and Retailing,108087.0,29.4,7160.2,306.0,64718.4,314906,Beijing,,no,yes,no,yes,https://fortune.com/company/jd-com/global500/
1059,2021,60.0,SAIC Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,107555.2,-11.9,2961.0,-20.1,140906.5,143261,Shanghai,,no,yes,no,no,https://fortune.com/company/saic-motor/global500/
1060,2021,61.0,China Communications Construction,Engineering & Construction,Engineering & Construction,106867.7,12.4,1165.0,-12.6,306555.0,213438,Beijing,,no,yes,no,yes,https://fortune.com/company/china-communications-construction/global500/
1061,2021,62.0,Fannie Mae,Financials,Diversified Financials,106437.0,-11.5,11805.0,-16.6,3985749.0,7700,Washington,District Of Columbia,no,yes,no,yes,https://fortune.com/company/fannie-mae/global500/
1062,2021,63.0,Alibaba Group Holding,Retailing,Internet Services and Retailing,105865.7,44.7,22224.0,3.6,257977.7,251462,Hangzhou,,no,yes,no,yes,https://fortune.com/company/alibaba-group-holding/global500/
1063,2021,64.0,Comcast,Telecommunications,Telecommunications,103564.0,-4.9,10534.0,-19.3,273869.0,168000,Philadelphia,Pennsylvania,no,yes,no,no,https://fortune.com/company/comcast/global500/
1064,2021,65.0,China Minmetals,Materials,Metals,102014.8,15.5,491.1,113.4,150651.9,205015,Beijing,,no,yes,no,yes,https://fortune.com/company/china-minmetals/global500/
1065,2021,66.0,China FAW Group,Motor Vehicles & Parts,Motor Vehicles & Parts,101075.8,13.0,2866.5,0.7,74933.4,121002,Changchun,,no,yes,no,no,https://fortune.com/company/china-faw-group/global500/
1066,2021,67.0,Hengli Group,Industrials,Textiles,100773.1,25.0,2372.7,14.2,40747.7,118496,Suzhou City,,no,yes,no,yes,https://fortune.com/company/hengli-group/global500/
1067,2021,68.0,Amer International Group,Materials,Metals,100280.5,12.8,1851.7,2.5,31046.8,20180,Shenzhen,,no,yes,no,yes,https://fortune.com/company/amer-international-group/global500/
1068,2021,69.0,China Resources,Health Care,Pharmaceuticals,99437.6,4.9,4330.2,21.2,275691.9,370955,Hong Kong,,no,yes,no,no,https://fortune.com/company/china-resources-national/global500/
