,year,rank,name,sector,industry,revenues,revchange,profits,prftchange,assets,employees,hqcity,hqstate,newcomer,profitable,ceowoman,jobgrowth,permalink
590,2020,91.0,Amer International Group,Materials,Metals,88862.0,16.4,1807.3,21.9,23170.8,18103,Shenzhen,,no,yes,no,yes,https://fortune.com/company/amer-international-group/global500/
591,2020,92.0,China Minmetals,Materials,Metals,88357.0,10.3,230.1,,133441.7,199486,Beijing,,no,yes,no,yes,https://fortune.com/company/china-minmetals/global500/
592,2020,93.0,Banco Santander,Financials,Banks: Commercial and Savings,88257.0,-2.5,7292.0,-20.9,1709072.9,189769,Madrid,,no,yes,no,no,https://fortune.com/company/banco-santander/global500/
593,2020,94.0,SoftBank Group,Telecommunications,Telecommunications,87440.0,1.0,-8844.3,-169.5,344751.5,80909,Tokyo,,no,no,no,yes,https://fortune.com/company/softbank-group/global500/
594,2020,95.0,Bosch Group,Motor Vehicles & Parts,Motor Vehicles & Parts,86990.0,-6.1,1780.7,-50.5,99927.3,398150,,,no,yes,no,no,https://fortune.com/company/robert-bosch/global500/
595,2020,96.0,Reliance Industries,Energy,Petroleum Refining,86270.0,4.8,5624.9,-0.6,154196.1,195618,Mumbai,,no,yes,no,yes,https://fortune.com/company/reliance-industries/global500/
596,2020,97.0,SK,Energy,Petroleum Refining,86163.0,-10.2,615.5,-69.9,114175.1,108911,Seoul,,no,yes,no,yes,https://fortune.com/company/sk-holdings/global500/
597,2020,98.0,Carrefour,Food & Drug Stores,Food & Drug Stores,85905.0,-6.6,1263.6,,57020.2,321383,Massy,,no,yes,no,no,https://fortune.com/company/carrefour/global500/
598,2020,99.0,BNP Paribas,Financials,Banks: Commercial and Savings,85058.0,1.3,9147.7,3.0,2429673.9,194001,Paris,,no,yes,no,no,https://fortune.com/company/bnp-paribas/global500/
599,2020,100.0,Dongfeng Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,84049.0,-7.6,1328.4,-17.0,71423.3,154641,Wuhan,,no,yes,no,no,https://fortune.com/company/dongfeng-motor/global500/
600,2020,101.0,Peugeot,Motor Vehicles & Parts,Motor Vehicles & Parts,83643.0,-4.3,3582.7,7.4,78305.4,214478,Rueil-Malmaison,,no,yes,no,no,https://fortune.com/company/peugeot/global500/
601,2020,102.0,JD.com,Retailing,Internet Services and Retailing,83505.0,19.6,1763.7,,37286.1,227730,Beijing,,no,yes,no,yes,https://fortune.com/company/jd-com/global500/
602,2020,103.0,Tesco,Food & Drug Stores,Food & Drug Stores,82700.0,-1.9,1240.0,-28.9,66794.9,293963,Welwyn Garden City,,no,yes,no,no,https://fortune.com/company/tesco/global500/
603,2020,104.0,Johnson & Johnson,Health Care,Pharmaceuticals,82059.0,0.6,15119.0,-1.2,157728.0,132200,New Brunswick,New Jersey,no,yes,no,no,https://fortune.com/company/johnson-johnson/global500/
604,2020,105.0,China Southern Power Grid,Energy,Utilities,81978.0,1.3,1833.1,2.8,134035.7,283639,Guangzhou,,no,yes,no,no,https://fortune.com/company/china-southern-power-grid/global500/
605,2020,106.0,Hitachi,Technology,"Electronics, Electrical Equip.",80639.0,-5.7,805.7,-59.9,91885.6,301056,Tokyo,,no,yes,no,yes,https://fortune.com/company/hitachi/global500/
606,2020,107.0,Hengli Group,Industrials,Textiles,80588.0,43.4,2076.8,256.3,33773.3,90555,Suzhou City,,no,yes,no,yes,https://fortune.com/company/hengli-group/global500/
