City,Region,Country,"Internet Price, 2010","Internet Price, 2011","Internet Price, 2012","Internet Price, 2013","Internet Price, 2014","Internet Price, 2015","Internet Price, 2016","Internet Price, 2017","Internet Price, 2018","Internet Price, 2019","Internet Price, 2020"
Austin,Texas,United States of America,15.0,33.8,45.3333333333333,35.6566666666667,51.0,42.3611111111111,50.775306122448995,53.7388888888889,60.28728813559321,61.3574468085106,63.0060606060606
El Paso,Texas,United States of America,0.0,0.0,0.0,0.0,0.0,38.7375,41.1733333333333,52.1666666666667,54.6666666666667,53.99875,75.71428571428571
Memphis,Tennessee,United States of America,0.0,0.0,0.0,0.0,49.993333333333304,53.6425,50.5408333333333,51.7263636363636,56.5,68.25,71.8333333333333
Charlotte,North Carolina,United States of America,31.0,77.5,49.5,40.5,0.0,49.05625,55.3529411764706,48.5282352941177,58.3,56.4081818181818,61.7684615384615
Jacksonville,Florida,United States of America,0.0,0.0,0.0,38.0,57.4,49.4322222222222,70.78571428571429,64.2772222222222,76.2727272727273,61.8861111111111,80.0
Guangzhou,Guangdong,People's Republic of China,0.0,15.4671870170015,20.800627943485104,19.7303921568627,14.1346902635986,0.0,19.0250064685022,14.4322694513899,24.0613164170264,16.5753639273212,18.2141706247461
Nanjing,Jiangsu,People's Republic of China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2869433750526,9.775383412260501,0.0
Long Beach,California,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,48.85571428571429,53.22222222222221,61.428571428571395,60.62625,67.4975
Oakland,California,United States of America,0.0,0.0,0.0,0.0,0.0,65.0,55.845384615384596,62.6428571428571,72.29444444444441,64.5,65.8181818181818
Thessaloniki,,Greece,20.987654320987602,32.7898550724638,21.331569664903,23.030303030303003,24.946704767088498,20.397692774742,22.7812044079498,24.6691477369242,34.2846602189122,33.9355119795694,35.1151042940572
Sacramento,California,United States of America,0.0,0.0,0.0,38.1666666666667,0.0,52.24,47.79125,58.124375,63.3444827586207,61.04761904761911,58.895
Honolulu,Hawaii,United States of America,22.0,64.5,58.3333333333333,43.8,45.0,46.5,50.9333333333333,50.78571428571429,56.2605882352941,58.3,63.14214285714289
Manchester,England,United Kingdom,14.4927536231884,40.9836065573771,35.384615384615394,27.2727272727273,26.1262770055267,29.8677610579115,25.834061241325802,31.855249745158,36.8033718519855,37.6763445519765,38.2165411505904
Providence,Rhode Island,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,69.0,79.8333333333333,72.4983333333333,0.0,0.0
Brooklyn,New York,United States of America,0.0,0.0,0.0,0.0,0.0,44.28571428571429,50.7663636363636,60.624166666666696,69.738064516129,65.304347826087,68.3333333333333
Tucson,Arizona,United States of America,0.0,0.0,0.0,0.0,0.0,41.3618181818182,49.4782608695652,54.305,71.6506666666667,71.46600000000001,70.5714285714286
Simferopol,Republic of Crimea,Russia,0.0,0.0,0.0,0.0,0.0,0.0,5.70914595299539,0.0,0.0,0.0,0.0
Bucharest,,Romania,9.11942187343257,10.704804454804501,8.86349700210663,9.76759515300732,10.3178404841827,7.754105083209571,8.11829672459667,8.86638612183311,9.42140278532845,9.100649652541449,9.170031664773589
Tirana,Tirana County,Albania,0.0,46.887617267579095,24.351196258873802,22.4740495296723,24.886661806585497,15.8638207718917,16.8911671800718,18.331085757883898,24.5472963471701,21.7251140248249,21.163960171162397
Bath,England,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,33.4546513320716,0.0,0.0,0.0,0.0
Bradford,England,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.958688429871398,0.0
Red Deer,Alberta,Canada,0.0,0.0,0.0,0.0,0.0,56.0693027210884,52.66712812039479,0.0,65.3376621672826,62.189980571174296,56.2367421152008
Bristol,England,United Kingdom,0.0,0.0,0.0,0.0,46.4746273656004,30.2097583219334,30.7165974220858,37.8865103635746,39.4848034326182,40.6906527356477,39.0566795486637
Nashville,Tennessee,United States of America,0.0,0.0,45.0,45.6,49.9983333333333,53.1326666666667,56.9166666666667,55.94952380952379,68.62526315789471,67.8557142857143,71.9958333333333
Salt Lake City,Utah,United States of America,0.0,0.0,53.33,54.1666666666667,55.56428571428571,41.5625,46.4336,54.875,58.6666666666667,61.15,63.4117647058824
Ulaanbaatar,,Mongolia,0.0,0.0,0.0,36.3851611356572,0.0,30.247866066965603,0.0,13.486444473269598,0.0,16.1795793144077,0.0
Edinburgh,Scotland,United Kingdom,0.0,33.3333333333333,23.076923076923105,29.5454545454545,29.6544409088372,32.4243806049552,31.9747583905394,36.4742609582059,41.0527898402679,36.8962432915921,38.248373102698395
Marseille,,France,0.0,0.0,0.0,0.0,0.0,25.5009107468124,31.0099519430885,34.7066726377071,37.3635927180246,26.1926615773803,0.0
Atlanta,Georgia,United States of America,38.0,57.0,44.25,48.77777777777779,49.0,50.4845454545455,48.8497727272727,55.650930232558096,64.0904545454545,67.8965517241379,65.57058823529411
Podgorica,Podgorica Municipality,Montenegro,0.0,0.0,0.0,0.0,0.0,25.1366120218579,20.433647406062,26.8696820420958,30.8400482696874,25.142199804717396,24.2917094217622
Wellington,Wellington Region,New Zealand,40.8163265306122,66.11570247933889,53.98496240601499,91.8,72.9384305532027,59.617801553285396,59.400726439131695,59.226558475942106,56.1531489307803,54.439387112515,51.3843361206152
Las Vegas,Nevada,United States of America,21.6666666666667,30.0,37.995,50.0,41.6666666666667,49.0995,55.2496875,59.4666666666667,64.5839622641509,71.7971698113208,76.09
Valletta,,Malta,0.0,0.0,0.0,0.0,0.0,0.0,23.8392553070723,0.0,0.0,0.0,0.0
Vancouver,British Columbia,Canada,39.262820512820504,48.5681557846506,40.1837725381415,47.571428571428605,45.0294822185369,44.902804871948796,46.526258205689295,50.879013815814105,58.53127672194861,52.99568291725701,59.41233174585
Liverpool,England,United Kingdom,0.0,0.0,36.1538461538462,0.0,0.0,39.874347671885296,27.187363517251395,28.350110431532396,36.120744393151604,35.848883169409,37.5604527231535
Albany,New York,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,59.8,60.0,67.2188888888889,75.665,68.0
Bremen,,Germany,0.0,0.0,0.0,0.0,0.0,27.304189435337,34.0560790101033,0.0,32.114912997781204,35.383879200340296,0.0
Uppsala,Uppsala County,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.208231751039705,33.517086832449195,32.975325541399,0.0
Gothenburg,Vastra Gotaland County,Sweden,0.0,30.9856331440027,26.6162310866575,0.0,0.0,23.8139708629062,30.9528783800945,27.783354844877895,31.643226323720498,34.618587687978,33.9016994525128
Kosice,Kosice Region,Slovakia,0.0,0.0,0.0,0.0,0.0,16.1748633879781,18.7737288883844,19.998320644872397,22.4857473485291,17.8945875961704,0.0
Funchal,Madeira,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5660729435499
Batumi,Adjara,Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.118491921005399,14.4950287807431
Trondheim,Trondelag,Norway,0.0,46.641791044776106,54.20324356494571,55.171574592358205,49.951531260020396,44.8882555575722,0.0,46.070205580202206,75.67045784290829,58.0839343524932,0.0
Jersey City,New Jersey,United States of America,0.0,0.0,0.0,0.0,0.0,49.0,56.0,52.2,66.11,69.5,59.1666666666667
Bergen,Vestland,Norway,0.0,0.0,50.317282568122394,0.0,49.87739169599811,40.4722071975748,42.485751479548895,50.40951293849071,52.6371325537338,53.9797911871881,50.6661146140139
Martin,Zilina region,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,17.4821205585197,0.0,0.0,0.0,0.0
Baton Rouge,Louisiana,United States of America,0.0,0.0,0.0,0.0,0.0,56.598,0.0,60.596000000000004,67.1818181818182,70.3333333333333,66.2842857142857
Lincoln,Nebraska,United States of America,0.0,0.0,0.0,0.0,0.0,50.8,0.0,0.0,57.0,72.0,0.0
Springfield,Illinois,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8571428571429,0.0,0.0
Saint Paul,Minnesota,United States of America,0.0,0.0,0.0,0.0,0.0,44.75,36.6,53.0,62.0555555555556,60.0,0.0
Chengdu,Sichuan,People's Republic of China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8890032847968,19.8118909445458,13.8738034206601,0.0
Heredia,Heredia Province,Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.665586285324004
Burlington,Vermont,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,57.6655555555556,67.3333333333333,53.6,0.0,0.0
Krakow,Lesser Poland Voivodeship,Poland,0.0,21.400132714001302,14.5076674737692,15.758709375730698,16.383458399442198,12.6916280976865,12.3822569551933,13.4322778763766,14.0581051283017,14.123506262725101,13.8972719466697
Little Rock,Arkansas,United States of America,0.0,0.0,0.0,0.0,48.6666666666667,48.8,45.81923076923079,53.1666666666667,54.1666666666667,67.9975,55.8333333333333
Hartford,Connecticut,United States of America,19.996666666666698,0.0,0.0,0.0,0.0,0.0,52.998000000000005,0.0,65.8333333333333,0.0,0.0
Nice,,France,0.0,0.0,0.0,0.0,36.73697101646479,35.21554341226471,28.3638486612717,0.0,28.144341936237304,30.7819740759811,34.143347131699
Fargo,North Dakota,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3333333333333,0.0,0.0
